"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000197471",112.216841815872,-8.14360010142943,0.617547345971312,-13.1870052629256,1.04244755640259e-39,5.0500452063256e-37,"SPN",NA,"GO:0001562"
"ENSG00000010671",127.818059588552,-8.74716269915322,0.664810435525129,-13.1573787530033,1.54348277870704e-39,7.26362995659534e-37,"BTK","2.7.10.2","GO:0001805"
"ENSG00000183072",21.0063151592791,22.3783330986213,1.71010605997534,13.0859328683649,3.96265052332718e-39,1.811393903123e-36,"NKX2-5",NA,"GO:0000122"
"ENSG00000138119",1110.91210502289,7.63720938117277,0.583709608358762,13.0839192499274,4.06906529145475e-39,1.811393903123e-36,"MYOF",NA,"GO:0001778"
"ENSG00000147168",590.653514946435,-7.78270386632324,0.600641858866846,-12.9573118347194,2.13602562718265e-38,9.25854686982247e-36,"IL2RG",NA,"GO:0000165"
"ENSG00000164294",435.731986660486,7.27355667824952,0.562666369307788,12.9269440560269,3.17177005707467e-38,1.3395442207712e-35,"GPX8",NA,"GO:0004601"
"ENSG00000150687",1045.81316716145,8.20366574261518,0.63611585576796,12.8964962407849,4.71031203961436e-38,1.9395887401122e-35,"PRSS23",NA,"GO:0004252"
"ENSG00000091136",1320.32659723688,6.70678609918851,0.522756813055047,12.8296483789342,1.11870731587207e-37,4.49420199993387e-35,"LAMB1",NA,"GO:0005198"
"ENSG00000105137",145.911841657416,7.01673609182155,0.548721812336348,12.7874196616054,1.92768481068786e-37,7.55973726591423e-35,"SYDE1",NA,"GO:0005096"
"ENSG00000163430",2891.13345722016,8.35639115162485,0.654298415545297,12.7715289431972,2.36463436027203e-37,9.0576494297769e-35,"FSTL1",NA,"GO:0005509"
"ENSG00000137801",3488.57440920132,8.3289173821471,0.653582073078962,12.7434911776426,3.38883774795792e-37,1.26858060333216e-34,"THBS1",NA,"GO:0000187"
"ENSG00000066336",148.407138902259,-9.50904479969978,0.747254758869761,-12.7253051075679,4.27800459691585e-37,1.56584474924002e-34,"SPI1",NA,"GO:0000122"
"ENSG00000186517",128.706247424839,-7.43238075389065,0.585708354918773,-12.6895590467057,6.75651026114227e-37,2.41927131546249e-34,"ARHGAP30",NA,"GO:0005096"
"ENSG00000185811",126.218139695131,-8.36319346250145,0.659797627969097,-12.6753918292249,8.09531504152269e-37,2.83697732018979e-34,"IKZF1",NA,"GO:0003677"
"ENSG00000117091",206.995824779189,-10.0587901362989,0.794774817854975,-12.6561510384119,1.03448178760732e-36,3.54978115076672e-34,"CD48",NA,"GO:0002819"
