"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000075223",431.666793835853,6.33922152609387,0.559164469525294,11.336953385961,8.60895667776553e-30,1.84600628190372e-27,"SEMA3C",NA,"GO:0001755"
"ENSG00000140945",296.601066937768,6.37579413672811,0.563069870678902,11.3232734847644,1.00642268804652e-29,2.13039038491488e-27,"CDH13",NA,"GO:0000278"
"ENSG00000152104",137.745483167943,4.47126143443806,0.395759481659021,11.2979262447347,1.343531933668e-29,2.80798174136611e-27,"PTPN14",NA,"GO:0001946"
"ENSG00000198363",1800.51291199919,3.68608058657583,0.326422219839546,11.2923703183801,1.43124027108037e-29,2.95390101447599e-27,"ASPH",NA,"GO:0004597"
"ENSG00000150687",986.957931104204,6.42559625295631,0.572548060889469,11.2228067683505,3.15107799006487e-29,6.42314181406926e-27,"PRSS23",NA,"GO:0004252"
"ENSG00000164692",5586.08712237329,10.6291939477477,0.951784925205085,11.1676426745858,5.87185648075475e-29,1.18231978480173e-26,"COL1A2",NA,"GO:0001501"
"ENSG00000134531",1399.89244673032,6.08901886945856,0.545520343041831,11.1618548182935,6.26702157022585e-29,1.24668425477107e-26,"EMP1",NA,"GO:0005515"
"ENSG00000177106",269.753850339281,6.13325607370378,0.549890218859281,11.1536009613462,6.87659635378548e-29,1.35166050473038e-26,"EPS8L2",NA,"GO:0003779"
"ENSG00000142583",87.0588958344058,-5.80871049418667,0.521375887894529,-11.1411183928048,7.91194731394391e-29,1.53687249530033e-26,"SLC2A5",NA,"GO:0003044"
"ENSG00000111077",108.556717591339,5.69671640663618,0.511617920644086,11.1347084939176,8.50227191467929e-29,1.63233734399151e-26,"TNS2",NA,"GO:0001822"
"ENSG00000104894",135.941573153577,-8.45413847268982,0.759646795988895,-11.1290385443993,9.06075100610323e-29,1.71956390645713e-26,"CD37",NA,"GO:0001772"
"ENSG00000274736",8.94449990686907,-25.4144872160354,2.29966876075157,-11.0513686361202,2.15898022991257e-28,4.05078665637345e-26,"CCL23",NA,"GO:0002548"
"ENSG00000173020",594.050508464749,-2.13074359487664,0.193029920223399,-11.0384110007954,2.49404611662548e-28,4.62687589119138e-26,"GRK2","2.7.11.15","GO:0002029"
"ENSG00000128510",224.88797205927,8.01035751422645,0.727420052870952,11.0120108493181,3.34454357474903e-28,6.13575099585346e-26,"CPA4",NA,"GO:0004181"
"ENSG00000173402",563.67565843307,2.57067487764584,0.234215549350672,10.9756798161892,5.0028118084965e-28,9.07707975495448e-26,"DAG1",NA,"GO:0001618"
"ENSG00000115380",1895.31130978236,7.78745194565148,0.715220817854971,10.8881785194773,1.31238824370908e-27,2.35530894476964e-25,"EFEMP1",NA,"GO:0005006"
"ENSG00000118513",272.853835248883,-5.87559018531227,0.540087382698321,-10.8789621337891,1.45206812449619e-27,2.57796739823189e-25,"MYB",NA,"GO:0000122"
"ENSG00000074410",311.031045620081,9.00913087229854,0.829193538082539,10.8649313562327,1.69350489144771e-27,2.97462332581841e-25,"CA12","4.2.1.1","GO:0004089"
"ENSG00000213977",965.228795818915,2.86258170954362,0.266737263842373,10.7318402697392,7.21449031869233e-27,1.25387841738873e-24,"TAX1BP3",NA,"GO:0001650"
"ENSG00000132031",52.4927245573984,7.92547807618804,0.740037454258466,10.7095634559869,9.17936355572766e-27,1.57875491321478e-24,"MATN3",NA,"GO:0001501"
"ENSG00000205730",117.215137912955,4.3596235751822,0.407124103472781,10.7083406214333,9.30140466214364e-27,1.58325249872839e-24,"ITPRIPL2",NA,"GO:0016021"
"ENSG00000213402",183.62685007349,-7.83583443351358,0.732988869948113,-10.6902502272214,1.13065519410942e-26,1.90492325611639e-24,"PTPRCAP",NA,"GO:0005886"
"ENSG00000113083",717.47494625162,8.28522149399607,0.775564966641276,10.6828207182652,1.22492123117733e-26,2.04289640888574e-24,"LOX",NA,"GO:0004720"
"ENSG00000167601",976.043577982147,6.65744980494569,0.624041245023874,10.6682849219221,1.43245949033019e-26,2.36513386448418e-24,"AXL",NA,"GO:0001618"
